"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch";"Zmierzch.Zycie i Smierc"
"barierka";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"baron";0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0
"barta";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bartemiusz";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bartemiusza";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bartyego";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bartyemu";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baru";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baseball";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"basior";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"baœñ";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bathildê";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bawiæ";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bazyliszek";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b¹bel";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"beau";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
"beaufort";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"beauxbatons";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"beauxbatonsreprezentowaæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"beedlea";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bell";0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;16;12;11;10;0
"bellatriks";0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"bell¹";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"bellê";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;4;0
"belli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;6;7;0
"bern";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"berna";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bernem";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"berta";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"berunie";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"beruny";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"bestia";2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bezcelowy";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bezg³owy";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezlitosny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bezoar";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezpieczeñstwo";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezpieczny";3;2;0;1;0;0;1;0;0;0;0;0;1;0;0;2;1;1;0;2
"bezu¿yteczny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezw³adny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêd¹c";0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0
"bêd¹ce";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bia³a";0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0
"bia³y";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"biblia";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"biblioteka";1;0;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biæ";0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"biedny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegiem";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegn¹c";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegn¹æ";2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"bie¿¹cy";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bill";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"billa";2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"binnsa";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biografia";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biologia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"bitwa";0;2;0;0;0;0;0;0;0;4;3;0;0;0;0;0;1;3;0;0
"bity";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"biurko";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biuro";0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"black";0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2
"blacka";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"blackiem";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"blackowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"blacków";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"blacku";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"blady";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"bliski";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizna";6;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bliŸniaczka";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bliŸniak";3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"bliŸnie";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blokowaæ";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³aganie";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"b³¹d";1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³êdny";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"b³ona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"b³oniach";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³onie";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³oto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³otosmêtkiem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"b³otowijem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"b³yskaæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³yskawica";0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³yskawiczny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boa";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bobrowy";0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"bobry";0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
"bogin";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"bogina";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boginami";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"boginem";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"boi";1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"boisko";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boj";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"boj¹";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"boj¹c";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bojowy";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"boleæ";2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bolesny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"bombardowaæ";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bonnie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"borgina";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"borginowi";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"borsuczy";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"borsuk";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bowker";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bo¿e";0;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"bo¿onarodzeniowy";2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bo¿y";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"bóbr";0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"bóg";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bójka";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"ból";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"bracia";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"braciach";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"braæ";1;1;0;1;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0
"brak";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"brakowa³o";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"brakuje";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"brama";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bramkarz";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bransoleta";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"brat";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"brata";0;0;1;0;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0
"bratanek";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bratanka";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bratu";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"brawurowy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bri";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"broda";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bronica";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"broniæ";1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;2;0;0;0
"broñ";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
"brown";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brutalny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bryka";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brytania";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"brzeg";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"brzmieæ";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brzuch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"brzuchaty";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"budynek";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budziæ";5;2;0;1;1;1;2;0;0;5;1;0;0;1;0;0;0;0;0;0
"bujdkê";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bulstrode";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bu³garski";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bunt";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"burbage";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"burkesa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"but";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"butelka";1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"by³y";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cadogan";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"caffe";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cal";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ca³kowity";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ca³owaæ";0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
"ca³y";11;5;2;3;3;6;4;3;0;3;4;0;0;0;0;0;1;2;0;1
"carine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"carlisle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"carlislea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"carrow";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrik";6;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";7;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
